"","file","bill_id","date_introduced","date_hearing","date_amended","chair","author","consultant","support","opposition"
"1","/Users/alicehau/Gifts_Research/gifts/2015/modified/alice.txt","SB16","February 25, 2015","","","","","","",""
"2","/Users/alicehau/Gifts_Research/gifts/2015/modified/alice.txt","SB16","","4/28","","","","","",""
"3","/Users/alicehau/Gifts_Research/gifts/2015/modified/alice.txt","SB16","","","","Jim Beall","","","",""
"4","/Users/alicehau/Gifts_Research/gifts/2015/modified/alice.txt","SB16","","","","","Beall","","",""
"5","/Users/alicehau/Gifts_Research/gifts/2015/modified/alice.txt","SB16","","","","","","Randy Chinn","",""
"6","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_100_MODIFIED.txt","AB1151","February 25, 2015","","","","","","",""
"7","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_100_MODIFIED.txt","AB1151","","April 27, 2015","","","","","",""
"8","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_100_MODIFIED.txt","AB1151","","","","Jim Frazier","","","",""
"9","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_100_MODIFIED.txt","AB1151","","","","","Santiago","","",""
"10","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1013_MODIFIED.txt","AB726","February 25, 2015","","","","","","",""
"11","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1013_MODIFIED.txt","AB726","","April 27, 2015","","","","","",""
"12","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1013_MODIFIED.txt","AB726","","","","Jim Frazier","","","",""
"13","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1013_MODIFIED.txt","AB726","","","","","Nazarian","","",""
"14","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1014_MODIFIED.txt","AB728","February 25, 2015","","","","","","",""
"15","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1014_MODIFIED.txt","AB728","","April 15, 2015","","","","","",""
"16","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1014_MODIFIED.txt","AB728","","","","Rudy Salas","","","",""
"17","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1014_MODIFIED.txt","AB728","","","","","Hadley","","",""
"18","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1021_MODIFIED.txt","AB736","February 25, 2015","","","","","","",""
"19","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1021_MODIFIED.txt","AB736","","April 15, 2015","","","","","",""
"20","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1021_MODIFIED.txt","AB736","","","","Jimmy Gomez","","","",""
"21","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1021_MODIFIED.txt","AB736","","","","","Cooley","","",""
"22","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1026_MODIFIED.txt","AB740","February 25, 2015","","","","","","",""
"23","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1026_MODIFIED.txt","AB740","","April 8, 2015","","","","","",""
"24","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1026_MODIFIED.txt","AB740","","","","Patrick O'Donnell","","","",""
"25","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1026_MODIFIED.txt","AB740","","","","","Weber","","",""
"26","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1028_MODIFIED.txt","AB743","February 25, 2015","","","","","","",""
"27","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1028_MODIFIED.txt","AB743","","April 14, 2015","","","","","",""
"28","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1028_MODIFIED.txt","AB743","","","","Kansen Chu","","","",""
"29","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1028_MODIFIED.txt","AB743","","","","","Eggman","","",""
"30","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1030_MODIFIED.txt","AB745","February 25, 2015","","","","","","",""
"31","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1030_MODIFIED.txt","AB745","","April 21, 2015","","","","","",""
"32","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1030_MODIFIED.txt","AB745","","","","Rob Bonta","","","",""
"33","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1030_MODIFIED.txt","AB745","","","","","Chau","","",""
"34","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1037_MODIFIED.txt","AB750","February 25, 2015","","","","","","",""
"35","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1037_MODIFIED.txt","AB750","","April 14, 2015","","","","","",""
"36","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1037_MODIFIED.txt","AB750","","","","Susan Bonilla","","","",""
"37","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1037_MODIFIED.txt","AB750","","","","","Low","","",""
"38","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1042_MODIFIED.txt","AB753","February 25, 2015","","","","","","",""
"39","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1042_MODIFIED.txt","AB753","","April 22, 2015","","","","","",""
"40","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1042_MODIFIED.txt","AB753","","","","Jimmy Gomez","","","",""
"41","/Users/alicehau/Gifts_Research/gifts/2015/modified/BILL_ANALYSIS_TBL_1042_MODIFIED.txt","AB753","","","","","Medina","","",""
